N,density,T,a,friction,early_mean_speed_mean,early_mean_speed_trend,early_std_mean,early_std_trend,wave_label
29,0.12608695652173912,1.0079285667747113,1.9973418353517935,0.9666144272308871,5.114297930962107,-0.006031324701894441,1.3219172836194715,-0.06768047800610409,0
27,0.11739130434782609,1.0014547561182032,1.2886943354521923,0.947887081660682,7.1250611750644985,-0.09916132790316064,0.1346233139375445,-0.006151006514164828,0
54,0.23478260869565218,1.7452218240906572,1.208442524608217,0.7583471204397889,1.172277687396885,0.019449909822843954,0.12687634855272464,-0.014625815185690762,0
44,0.19130434782608696,1.6561240475400092,1.8036017233803667,0.501396813270641,1.7959692620927,0.013709660658484859,0.3655880857150037,-0.036061818388778775,0
11,0.04782608695652174,1.0239505487068137,1.3251861708074502,0.7804821630104328,12.426560646484706,0.014505795297483791,0.10348946868929128,-0.006101367209726803,0
32,0.1391304347826087,0.8391082719923572,1.6410401337697742,0.6214625591225715,4.48780499018683,-0.03872647709712341,1.4359862936514602,-0.0730346049062497,1
25,0.10869565217391304,1.7024082226611221,1.382805437508706,0.7154190412299627,4.548962738363725,-0.08890558909501357,1.0199497202970529,-0.00936730329570002,1
43,0.18695652173913044,1.7730542415589268,1.4011420451243466,0.7787627160513411,1.7488244967639193,0.019721028386335118,0.2595530500425886,-0.02372357389116599,0
36,0.1565217391304348,1.4105088455999213,1.2020483314609614,0.7454829925147068,2.818328936470942,-0.009496883321236618,0.726949363056656,-0.04007762427850536,1
52,0.22608695652173913,1.41463441802982,0.8945180996945788,0.8624189605277846,1.6250082383526376,-0.007469699579272872,0.5058060219674081,-0.032368138419597646,1
30,0.13043478260869565,0.9861334564733062,1.872194591735652,0.8124231053860793,5.112639842540905,-0.0942838144859539,1.8982941779338638,0.025246699935193375,1
36,0.1565217391304348,1.722598179647556,1.1061199661081442,0.9648824221903227,2.5769905287930572,-0.019238342006037783,0.5799197743405436,-0.0231282499382063,1
12,0.05217391304347826,2.1105056810855913,1.784299734593985,0.783924450986976,8.346993106427886,-0.07542917462750817,0.045508627107413865,-0.0023724477871291958,0
26,0.11304347826086956,1.7097314647020023,1.8251806776595543,0.5800265996355711,3.830763775014441,-0.027736173817961556,1.0738406575271464,-0.04499040544935599,1
51,0.2217391304347826,2.0658524388036854,1.5262269723916542,0.6516369615693616,1.1097960773564004,0.018181528900340197,0.03942853789738982,-0.003386073264404757,0
43,0.18695652173913044,1.7616375542962626,1.8717824812290202,0.5027927604885087,1.7831263997262674,0.010784239625593554,0.38562499434219005,-0.02975192242595823,0
